-------------------------------
angle,output,Kp,Ki,Kd
-0.0,-0.35,4.67,0.4,0.37
0.01,-0.4,5.07,0.4,0.38
0.01,-0.3,5.42,0.4,0.38
0.0,-0.22,5.69,0.4,0.38
0.01,-0.35,5.78,0.4,0.38
0.0,-0.22,6.0,0.4,0.37
0.0,-0.27,6.02,0.4,0.38
0.0,-0.27,6.02,0.4,0.37
0.01,-0.35,6.02,0.4,0.38
0.01,-0.38,6.02,0.4,0.38
0.02,-0.48,6.02,0.4,0.38
0.0,-0.13,6.29,0.4,0.38
0.0,-0.27,6.7,0.39,0.38
-0.01,-0.11,6.74,0.4,0.38
-0.0,-0.3,6.74,0.4,0.37
-0.01,-0.09,6.76,0.4,0.38
-0.01,-0.19,7.0,0.4,0.38
-0.02,-0.1,7.48,0.4,0.38
-0.02,-0.07,7.69,0.4,0.38
-0.02,-0.13,7.72,0.4,0.38
-0.03,0.03,7.72,0.4,0.38
-0.04,0.18,7.72,0.4,0.38
-0.03,-0.08,7.72,0.4,0.38
-0.04,0.03,7.72,0.4,0.38
-0.03,-0.04,7.73,0.4,0.38
-0.04,0.03,7.72,0.4,0.38
-0.02,-0.23,7.72,0.4,0.38
-0.03,0.04,7.71,0.4,0.38
-0.02,-0.17,7.72,0.4,0.37
-0.02,-0.04,7.72,0.4,0.38
-0.03,-0.02,7.72,0.4,0.37
-0.04,0.09,7.72,0.4,0.38
-0.06,0.33,7.72,0.4,0.38
-0.05,0.09,7.72,0.4,0.38
-0.03,-0.21,7.72,0.4,0.37
-0.04,0.1,7.72,0.4,0.38
-0.03,-0.12,7.72,0.41,0.38
-0.01,-0.36,7.7,0.4,0.38
-0.01,-0.21,7.61,0.4,0.38
-0.01,-0.22,6.76,0.4,0.38
-0.02,-0.06,6.57,0.4,0.38
-0.0,-0.33,6.57,0.4,0.38
0.0,-0.32,6.56,0.4,0.38
-0.01,-0.11,6.15,0.4,0.38
-0.02,-0.06,5.69,0.4,0.38
-0.01,-0.25,5.66,0.4,0.38
-0.01,-0.28,5.65,0.4,0.38
-0.0,-0.23,5.65,0.4,0.38
0.01,-0.39,5.64,0.4,0.38
-0.01,-0.06,5.64,0.4,0.38
-0.0,-0.29,5.4,0.4,0.38
-0.02,-0.09,5.12,0.4,0.38
-0.01,-0.27,5.1,0.4,0.38
-0.02,-0.08,5.08,0.4,0.37
-0.01,-0.26,4.93,0.4,0.38
0.01,-0.43,4.74,0.4,0.37
0.01,-0.35,4.72,0.4,0.38
0.03,-0.51,4.63,0.4,0.38
0.04,-0.49,4.5,0.4,0.38
0.04,-0.45,4.48,0.4,0.38
0.02,-0.25,4.45,0.4,0.38
0.02,-0.27,4.42,0.4,0.38
0.0,-0.17,4.36,0.4,0.38
-0.01,-0.13,4.25,0.4,0.38
-0.01,-0.15,4.17,0.39,0.38
-0.0,-0.35,4.04,0.4,0.38
0.0,-0.32,3.97,0.4,0.38
0.0,-0.27,3.85,0.4,0.38
-0.0,-0.2,3.74,0.4,0.38
-0.01,-0.19,3.66,0.4,0.38
-0.0,-0.3,3.63,0.4,0.38
0.0,-0.32,3.3,0.4,0.38
0.02,-0.39,3.07,0.4,0.38
